issue,language,set,abbreviation,detail,sources
no card list,de,Wizards Black Star Promos,basep,1999-07-01,tcgdex
no card list,de,EX Verborgene Mächte Icognito,exu,2005-08-22,tcgdex
no card list,de,Promo HGSS,hgssp,2010-02-11,tcgdex
no card list,de,SW Promokarten,BWP,2011-04-26,tcgdex
no card list,de,Drachengruft,DRV,2012-10-05,tcgdex
no card list,de,XY Promokarten,XYP,2013-10-12,tcgdex
no card list,de,Gelbes-A-Alternativkarten,xya,2014-02-05,tcgdex
no card list,de,Generationen,GEN,2016-02-22,tcgdex
no card list,de,Verborgenes Schicksal,HIF,2019-08-23,tcgdex
no card list,de,Verborgenes Schicksal Glitzer-Tresor,sma,2019-08-23,tcgdex
no card list,de,Celebrations Klassische Kollektion,CEL:CC,2021-10-08,tcgdex
no card list,de,Verborgene Quelle,A4a,2025-08-28,tcgdex
no card list,de,Feuerrote Flammen,B1a,2025-12-17,tcgdex
no card list,de,Traumhafte Parade,B2,2026-01-29,tcgdex
no card list,en,Base Set (Shadowless),BS,1999-01-09,database.xlsx
no card list,en,Topps Series 1,,1999-06-28,database.xlsx
no card list,en,Wizards of the Coast Promos,WP,1999-07-01,"database.xlsx,tcgdex"
no card list,en,The First Movie,,1999-11-12,database.xlsx
no card list,en,Jumbo cards,jumbo,2000-02-01,tcgdex
no card list,en,Topps Chrome Series 1,,2000-06-01,database.xlsx
no card list,en,Topps Series 2,,2000-06-01,database.xlsx
no card list,en,The Movie 2000,,2000-07-01,database.xlsx
no card list,en,Topps Chrome Series 2,,2000-12-01,database.xlsx
no card list,en,Topps Series 3,,2000-12-01,database.xlsx
no card list,en,Johto Series 1,,2001-02-01,database.xlsx
no card list,en,Johto Series 3,,2001-05-01,database.xlsx
no card list,en,Johto League Champions,,2001-11-01,database.xlsx
no card list,en,Energize Your Game Cycle 2002,EN02,2002-01-01,database.xlsx
no card list,en,Sample,sp,2002-08-01,tcgdex
no card list,en,Advanced,,2003-05-01,database.xlsx
no card list,en,WC Deck 2004 (Blaziken Tech),,2004-11-01,database.xlsx
no card list,en,WC Deck 2004 (Magma Spirit),,2004-11-01,database.xlsx
no card list,en,WC Deck 2004 (Rocky Beach),,2004-11-01,database.xlsx
no card list,en,WC Deck 2004 (Team Rushdown),,2004-11-01,database.xlsx
no card list,en,EX Team Rocket Returns,TR,2004-11-08,database.xlsx
no card list,en,2005 Energies,EN05,2005-01-01,database.xlsx
no card list,en,WC Deck 2005 (Bright Aura),,2005-10-31,database.xlsx
no card list,en,WC Deck 2005 (Dark Tyranitar),,2005-10-31,database.xlsx
no card list,en,WC Deck 2005 (King of the West),,2005-10-31,database.xlsx
no card list,en,WC Deck 2005 (Queendom),,2005-10-31,database.xlsx
no card list,en,2006 Energies,EN06,2006-01-01,database.xlsx
no card list,en,Next Quest,,2006-08-27,database.xlsx
no card list,en,WC Deck 2006 (B-L-S),,2006-10-31,database.xlsx
no card list,en,WC Deck 2006 (Eeveelutions),,2006-10-31,database.xlsx
no card list,en,WC Deck 2006 (Mewtrick),,2006-10-31,database.xlsx
no card list,en,WC Deck 2006 (Suns & Moons),,2006-10-31,database.xlsx
no card list,en,2007 Energies,EN07,2007-05-23,database.xlsx
no card list,en,WC Deck 2007 (Flyvees),,2007-11-19,database.xlsx
no card list,en,WC Deck 2007 (Legendary Ascent),,2007-11-19,database.xlsx
no card list,en,WC Deck 2007 (Rambolt),,2007-11-19,database.xlsx
no card list,en,WC Deck 2007 (Swift Empoleon),,2007-11-19,database.xlsx
no card list,en,Burger King Collection 2008,,2008-07-07,database.xlsx
no card list,en,WC Deck 2008 (Bliss Control),,2008-11-05,database.xlsx
no card list,en,WC Deck 2008 (Empotech),,2008-11-05,database.xlsx
no card list,en,WC Deck 2008 (Intimidation),,2008-11-05,database.xlsx
no card list,en,WC Deck 2008 (Psychic Lock),,2008-11-05,database.xlsx
no card list,en,2009 Energies,EN09,2009-01-01,database.xlsx
no card list,en,Burger King Collection 2009,,2009-06-01,database.xlsx
no card list,en,WC Deck 2009 (Crowned Tiger),,2009-10-28,database.xlsx
no card list,en,WC Deck 2009 (Luxdrill),,2009-10-28,database.xlsx
no card list,en,WC Deck 2009 (Queengar),,2009-10-28,database.xlsx
no card list,en,WC Deck 2009 (Stallgon),,2009-10-28,database.xlsx
no card list,en,2010 Energies,EN10,2010-01-01,database.xlsx
no card list,en,HeartGold & SoulSilver Promos,HSP,2010-02-01,database.xlsx
no card list,en,WC Deck 2010 (Boltevoir),,2010-11-01,database.xlsx
no card list,en,WC Deck 2010 (Happy Luck),,2010-11-01,database.xlsx
no card list,en,WC Deck 2010 (LuxChomp of the Spirit),,2010-11-01,database.xlsx
no card list,en,WC Deck 2010 (Power Cottonweed),,2010-11-01,database.xlsx
no card list,en,2011 Energies,EN11,2011-01-01,database.xlsx
no card list,en,WC Deck 2011 (Megazone),,2011-10-01,database.xlsx
no card list,en,WC Deck 2011 (Reshiphlosion),,2011-10-01,database.xlsx
no card list,en,WC Deck 2011 (The Truth),,2011-10-01,database.xlsx
no card list,en,WC Deck 2011 (Twinboar),,2011-10-01,database.xlsx
no card list,en,WC Deck 2012 (CMT),,2012-11-01,database.xlsx
no card list,en,WC Deck 2012 (Eeltwo),,2012-11-01,database.xlsx
no card list,en,WC Deck 2012 (Pesadelo Prism),,2012-11-01,database.xlsx
no card list,en,WC Deck 2012 (Terraki-Mewtwo),,2012-11-01,database.xlsx
no card list,en,2013 Energies,EN13,2013-01-01,database.xlsx
no card list,en,McDonald's Collection 2013,M13,2013-10-13,database.xlsx
no card list,en,WC Deck 2013 (American Gothic),,2013-11-04,database.xlsx
no card list,en,WC Deck 2013 (Anguille Sous Roche),,2013-11-04,database.xlsx
no card list,en,WC Deck 2013 (Darkrai),,2013-11-04,database.xlsx
no card list,en,WC Deck 2013 (Ultimate Team Plasma),,2013-11-04,database.xlsx
no card list,en,Legendary Treasures (Radiant Collection),LTR,2013-11-06,"database.xlsx,tcgdex"
no card list,en,WC Deck 2014 (Crazy Punch),,2014-11-01,database.xlsx
no card list,en,WC Deck 2014 (Emerald King),,2014-11-01,database.xlsx
no card list,en,WC Deck 2014 (Plasma Power),,2014-11-01,database.xlsx
no card list,en,WC Deck 2014 (Trevgor),,2014-11-01,database.xlsx
no card list,en,WC Deck 2015 (HonorStoise),,2015-11-01,database.xlsx
no card list,en,WC Deck 2015 (Primal Groudon),,2015-11-01,database.xlsx
no card list,en,WC Deck 2015 (Punches 'n' Bites),,2015-11-01,database.xlsx
no card list,en,WC Deck 2015 (The Flying Hammer),,2015-11-01,database.xlsx
no card list,en,Generations (Radiant Collection),GEN,2016-02-22,database.xlsx
no card list,en,WC Deck 2016 (Bebe Deck),,2016-11-01,database.xlsx
no card list,en,WC Deck 2016 (Black Dragon),,2016-11-01,database.xlsx
no card list,en,WC Deck 2016 (Magical Symphony),,2016-11-01,database.xlsx
no card list,en,WC Deck 2016 (Ninja Blitz),,2016-11-01,database.xlsx
no card list,en,2017 Energies,EN17,2017-02-03,database.xlsx
no card list,en,WC Deck 2017 (Golisodor),,2017-11-17,database.xlsx
no card list,en,WC Deck 2017 (Ice Path FTW),,2017-11-17,database.xlsx
no card list,en,WC Deck 2017 (Infinite Force),,2017-11-17,database.xlsx
no card list,en,WC Deck 2017 (Samurai Sniper),,2017-11-17,database.xlsx
no card list,en,McDonald's Collection 2018 (French),M18F,2018-06-13,database.xlsx
no card list,en,WC Deck 2018 (Buzzroc),,2018-11-14,database.xlsx
no card list,en,WC Deck 2018 (Dragones y Sombras),,2018-11-14,database.xlsx
no card list,en,WC Deck 2018 (Garbanette),,2018-11-14,database.xlsx
no card list,en,WC Deck 2018 (Victory Map),,2018-11-14,database.xlsx
no card list,en,2019 Energies,EN19,2019-02-01,database.xlsx
no card list,en,McDonald's Collection 2019 (French),M19F,2019-10-30,database.xlsx
no card list,en,WC Deck 2019 (Fire Box),,2019-11-22,database.xlsx
no card list,en,WC Deck 2019 (Mind Blown),,2019-11-22,database.xlsx
no card list,en,WC Deck 2019 (Perfection),,2019-11-22,database.xlsx
no card list,en,WC Deck 2019 (Pikarom Judge),,2019-11-22,database.xlsx
no card list,en,2020 Energies,EN20,2020-02-07,database.xlsx
no card list,en,Battle Academy 2020 (Charizard),,2020-06-21,database.xlsx
no card list,en,Battle Academy 2020 (Mewtwo),,2020-06-21,database.xlsx
no card list,en,Battle Academy 2020 (Pikachu),,2020-06-21,database.xlsx
no card list,en,2022 Energies,EN22,2022-02-25,database.xlsx
no card list,en,Battle Academy 2022 (Cinderace),,2022-05-25,database.xlsx
no card list,en,Battle Academy 2022 (Eevee),,2022-05-25,database.xlsx
no card list,en,Battle Academy 2022 (Pikachu),,2022-05-25,database.xlsx
no card list,en,Holiday Calendar 2022,,2022-09-01,database.xlsx
no card list,en,Trick or Trade 2022,,2022-09-01,database.xlsx
no card list,en,Play! Pokémon Prize Pack Series One,,2022-11-09,database.xlsx
no card list,en,Play! Pokémon Prize Pack Series Two,,2023-01-19,database.xlsx
no card list,en,WC Deck 2022 (ADP),,2023-03-03,database.xlsx
no card list,en,WC Deck 2022 (Cheryl Again),,2023-03-03,database.xlsx
no card list,en,WC Deck 2022 (Ice Rider Palkia),,2023-03-03,database.xlsx
no card list,en,WC Deck 2022 (The Shape of Mew),,2023-03-03,database.xlsx
no card list,en,McDonald's Match Battle 2023,M23,2023-07-27,database.xlsx
no card list,en,Play! Pokémon Prize Pack Series Three,,2023-08-14,database.xlsx
no card list,en,Holiday Calendar 2023,,2023-09-01,database.xlsx
no card list,en,Trick or Trade 2023,,2023-09-01,database.xlsx
no card list,en,My First Battle (Bulbasaur),FBB,2023-09-29,database.xlsx
no card list,en,My First Battle (Charmander),FBC,2023-09-29,database.xlsx
no card list,en,My First Battle (Pikachu),FBP,2023-09-29,database.xlsx
no card list,en,My First Battle (Squirtle),FBS,2023-09-29,database.xlsx
no card list,en,Pokémon TCG Classic (Blastoise),CLB,2023-11-17,database.xlsx
no card list,en,Pokémon TCG Classic (Charizard),CLC,2023-11-17,database.xlsx
no card list,en,Pokémon TCG Classic (Venusaur),CLV,2023-11-17,database.xlsx
no card list,en,Play! Pokémon Prize Pack Series Four,,2024-02-14,database.xlsx
no card list,en,WC Deck 2023 (Colorless Lugia),,2024-04-01,database.xlsx
no card list,en,WC Deck 2023 (Lost Box Kyogre),,2024-04-01,database.xlsx
no card list,en,WC Deck 2023 (Mew's Revenge),,2024-04-01,database.xlsx
no card list,en,WC Deck 2023 (Psychic Elegance),,2024-04-01,database.xlsx
no card list,en,Gym Series One,,2024-05-24,database.xlsx
no card list,en,Battle Academy 2024 (Armarouge),,2024-06-21,database.xlsx
no card list,en,Battle Academy 2024 (Darkrai),,2024-06-21,database.xlsx
no card list,en,Battle Academy 2024 (Pikachu),,2024-06-21,database.xlsx
no card list,en,Play! Pokémon Prize Pack Series Five,,2024-08-14,database.xlsx
no card list,en,Holiday Calendar 2024,,2024-08-23,database.xlsx
no card list,en,Trick or Trade 2024,,2024-08-30,database.xlsx
no card list,en,Play! Pokémon Prize Pack Series Six,,2025-02-14,database.xlsx
no card list,en,Gym Series Two,,2025-03-28,database.xlsx
no card list,en,WC Deck 2024 (Ancient Toolbox),,2025-05-16,database.xlsx
no card list,en,WC Deck 2024 (Crushing Thorn),,2025-05-16,database.xlsx
no card list,en,WC Deck 2024 (Regidrago VSTAR),,2025-05-16,database.xlsx
no card list,en,WC Deck 2024 (The 'Don),,2025-05-16,database.xlsx
no card list,en,Play! Pokémon Prize Pack Series Seven,,2025-08-14,database.xlsx
no card list,en,Holiday Calendar 2025,,2025-08-22,database.xlsx
no card list,en,Play! Pokémon Prize Pack Series Eight,,2026-01-01,database.xlsx
no card list,en,WC Deck 2025 (Flutter Devo Gardevoir),,2026-04-03,database.xlsx
no card list,en,WC Deck 2025 (Joltdengo),,2026-04-03,database.xlsx
no card list,en,WC Deck 2025 (JP Raging Bolt),,2026-04-03,database.xlsx
no card list,en,WC Deck 2025 (Pult Bomb),,2026-04-03,database.xlsx
no card list,en,Gym Series Three,,2026-06-01,database.xlsx
no card list,en,Play! Pokémon Prize Pack Series Nine,,2026-07-01,database.xlsx
no card list,en,30th Celebration,30C,2026-09-16,database.xlsx
no card list,en,30th Celebration (Classic Collection),30C,2026-09-16,database.xlsx
no card list,en,SM Trainer Kit (Alolan Ninetales),,,database.xlsx
no card list,en,SM Trainer Kit (Alolan Sandslash),,,database.xlsx
no card list,en,Trainer Deck A,,,database.xlsx
no card list,en,Trainer Deck B,,,database.xlsx
no card list,en,Pikachu World Collection,PW,,database.xlsx
no card list,en,Überraschungskalender,,,database.xlsx
no card list,en,Countdown Calendar,,,database.xlsx
no card list,en,Box Toppers (e-Card Series),BOX2,,database.xlsx
no card list,en,New York Pokémon Center Press Event,,,database.xlsx
no card list,en,Box Toppers (Legendary Collection),BOX1,,database.xlsx
no card list,en,Tropical Mega Battle,,,database.xlsx
no card list,es,Edición Básica,BS,1999-01-09,tcgdex
no card list,es,Jungla,JU,1999-06-16,tcgdex
no card list,es,Wizards Black Star Promos,basep,1999-07-01,tcgdex
no card list,es,Fósil,FO,1999-10-10,tcgdex
no card list,es,Neo Genesis,N1,2000-12-16,tcgdex
no card list,es,Rubí & Zafiro,RS,2003-07-01,tcgdex
no card list,es,Nintendo Black Star Promos,np,2003-10-01,tcgdex
no card list,es,Kit de Entrenador EX (Latias),TK1A,2004-07-01,tcgdex
no card list,es,Kit de Entrenador EX (Latios),TK1O,2004-07-01,tcgdex
no card list,es,EX Fuerzas Ocultas,UF,2005-08-22,tcgdex
no card list,es,EX Fuerzas Ocultas Unown,exu,2005-08-22,tcgdex
no card list,es,Kit de Entrenador EX (Ninun),TK2M,2006-03-01,tcgdex
no card list,es,Kit de Entrenador EX (Plusle),TK2P,2006-03-01,tcgdex
no card list,es,Diamante & Perla,DP,2007-05-01,tcgdex
no card list,es,DP Black Star Promos,dpp,2007-05-01,tcgdex
no card list,es,Tesoros Misteriosos,MT,2007-08-01,tcgdex
no card list,es,Kit de Entrenador Diamante & Perla (Lucario),TK3L,2007-09-01,tcgdex
no card list,es,Kit de Entrenador Diamante & Perla (Manaphy),TK3M,2007-09-01,tcgdex
